,Unnamed: 0,country,count,CODE
0,0,Philippines,213482,PHL
1,1,Kenya,113376,KEN
2,2,Peru,77816,PER
3,3,Cambodia,60611,KHM
4,4,El Salvador,51147,SLV
5,5,Uganda,39823,UGA
6,6,Nicaragua,38918,NIC
7,7,Tajikistan,33410,TJK
8,8,Pakistan,30908,PAK
9,9,Ecuador,26500,ECU
10,10,Colombia,25556,COL
11,11,"Bolivia, Plurinational State of",22768,BOL
12,12,Ghana,20046,GHA
13,13,Paraguay,19187,PRY
14,14,Mexico,17840,MEX
15,15,Nigeria,16468,NGA
16,16,Viet Nam,16382,VNM
17,17,Lebanon,14809,LBN
18,18,Rwanda,14271,RWA
19,19,Togo,14014,TGO
20,20,"Tanzania, United Republic of",14011,TZA
21,21,Samoa,13254,WSM
22,22,Honduras,13110,HND
23,23,Mali,12725,MLI
24,24,Sierra Leone,12723,SLE
25,25,Senegal,10867,SEN
26,26,Armenia,10775,ARM
27,27,Azerbaijan,10217,AZE
28,28,Guatemala,9883,GTM
29,29,Mongolia,9542,MNG
30,30,Kyrgyzstan,9283,KGZ
31,31,"Palestine, State of",9277,PSE
32,32,Indonesia,8703,IDN
33,33,Liberia,8639,LBR
34,34,India,8529,IND
35,35,Jordan,8487,JOR
36,36,Benin,6660,BEN
37,37,Georgia,5970,GEO
38,38,South Sudan,5868,SSD
39,39,Mozambique,5527,MOZ
40,40,United States,5337,USA
41,41,Ukraine,4586,UKR
42,42,Dominican Republic,4395,DOM
43,43,Costa Rica,4192,CRI
44,44,Zimbabwe,4173,ZWE
45,45,Yemen,3921,YEM
46,46,Iraq,3631,IRQ
47,47,"Congo, The Democratic Republic of the",3435,COD
48,48,Cameroon,3090,CMR
49,49,Timor-Leste,3025,TLS
50,50,Haiti,2512,HTI
51,51,Afghanistan,2478,AFG
52,52,Albania,2384,ALB
53,53,Burkina Faso,2223,BFA
54,54,Madagascar,2038,MDG
55,55,Nepal,1890,NPL
56,56,Burundi,1654,BDI
58,58,Turkey,1191,TUR
59,59,Lao People's Democratic Republic,1052,LAO
60,60,Congo,954,COG
61,61,Egypt,926,EGY
62,62,Chile,917,CHL
63,63,Zambia,789,ZMB
64,64,Malawi,659,MWI
65,65,South Africa,623,ZAF
66,66,Bosnia and Herzegovina,617,BIH
67,67,"Moldova, Republic of",510,MDA
68,68,Myanmar,416,MMR
69,69,Israel,396,ISR
70,70,Suriname,299,SUR
71,71,Bulgaria,282,BGR
73,73,Sri Lanka,255,LKA
74,74,Somalia,234,SOM
75,75,Belize,219,BLZ
76,76,Solomon Islands,198,SLB
77,77,Panama,192,PAN
78,78,Lesotho,184,LSO
79,79,Brazil,158,BRA
80,80,China,120,CHN
81,81,Thailand,112,THA
82,82,Chad,69,TCD
83,83,Puerto Rico,27,PRI
84,84,Saint Vincent and the Grenadines,20,VCT
85,85,Bangladesh,14,BGD
87,87,Namibia,7,NAM
88,88,Vanuatu,4,VUT
89,89,Guam,2,GUM
90,90,Mauritania,1,MRT
91,91,Botswana,1,BWA
92,92,Papua New Guinea,1,PNG
