,COUNTRY,CODE,GDP (BILLIONS),count
0,Afghanistan,AFG,21.71,2478.0
1,Albania,ALB,13.4,2384.0
2,Algeria,DZA,227.8,0.0
3,American Samoa,ASM,0.75,0.0
4,Andorra,AND,4.8,0.0
5,Angola,AGO,131.4,0.0
6,Anguilla,AIA,0.18,0.0
7,Antigua and Barbuda,ATG,1.24,0.0
8,Argentina,ARG,536.2,0.0
9,Armenia,ARM,10.88,10775.0
10,Aruba,ABW,2.52,0.0
11,Australia,AUS,1483.0,0.0
12,Austria,AUT,436.1,0.0
13,Azerbaijan,AZE,77.91,10217.0
14,"Bahamas, The",BHM,8.65,0.0
15,Bahrain,BHR,34.05,0.0
16,Bangladesh,BGD,186.6,14.0
17,Barbados,BRB,4.28,0.0
18,Belarus,BLR,75.25,0.0
19,Belgium,BEL,527.8,0.0
20,Belize,BLZ,1.67,219.0
21,Benin,BEN,9.24,6660.0
22,Bermuda,BMU,5.2,0.0
23,Bhutan,BTN,2.09,0.0
24,Bolivia,BOL,34.08,22768.0
25,Bosnia and Herzegovina,BIH,19.55,617.0
26,Botswana,BWA,16.3,1.0
27,Brazil,BRA,2244.0,158.0
28,British Virgin Islands,VGB,1.1,0.0
29,Brunei,BRN,17.43,0.0
30,Bulgaria,BGR,55.08,282.0
31,Burkina Faso,BFA,13.38,2223.0
32,Burma,MMR,65.29,416.0
33,Burundi,BDI,3.04,1654.0
34,Cabo Verde,CPV,1.98,0.0
35,Cambodia,KHM,16.9,60611.0
36,Cameroon,CMR,32.16,3090.0
37,Canada,CAN,1794.0,0.0
38,Cayman Islands,CYM,2.25,0.0
39,Central African Republic,CAF,1.73,0.0
40,Chad,TCD,15.84,69.0
41,Chile,CHL,264.1,917.0
42,China,CHN,10360.0,120.0
43,Colombia,COL,400.1,25556.0
44,Comoros,COM,0.72,0.0
45,"Congo, Democratic Republic of the",COD,32.67,3435.0
46,"Congo, Republic of the",COG,14.11,954.0
47,Cook Islands,COK,0.18,0.0
48,Costa Rica,CRI,50.46,4192.0
49,Cote d'Ivoire,CIV,33.96,0.0
50,Croatia,HRV,57.18,0.0
51,Cuba,CUB,77.15,0.0
52,Curacao,CUW,5.6,0.0
53,Cyprus,CYP,21.34,0.0
54,Czech Republic,CZE,205.6,0.0
55,Denmark,DNK,347.2,0.0
56,Djibouti,DJI,1.58,0.0
57,Dominica,DMA,0.51,0.0
58,Dominican Republic,DOM,64.05,4395.0
59,Ecuador,ECU,100.5,26500.0
60,Egypt,EGY,284.9,926.0
61,El Salvador,SLV,25.14,51147.0
62,Equatorial Guinea,GNQ,15.4,0.0
63,Eritrea,ERI,3.87,0.0
64,Estonia,EST,26.36,0.0
65,Ethiopia,ETH,49.86,0.0
66,Falkland Islands (Islas Malvinas),FLK,0.16,0.0
67,Faroe Islands,FRO,2.32,0.0
68,Fiji,FJI,4.17,0.0
69,Finland,FIN,276.3,0.0
70,France,FRA,2902.0,0.0
71,French Polynesia,PYF,7.15,0.0
72,Gabon,GAB,20.68,0.0
73,"Gambia, The",GMB,0.92,0.0
74,Georgia,GEO,16.13,5970.0
75,Germany,DEU,3820.0,0.0
76,Ghana,GHA,35.48,20046.0
77,Gibraltar,GIB,1.85,0.0
78,Greece,GRC,246.4,0.0
79,Greenland,GRL,2.16,0.0
80,Grenada,GRD,0.84,0.0
81,Guam,GUM,4.6,2.0
82,Guatemala,GTM,58.3,9883.0
83,Guernsey,GGY,2.74,0.0
84,Guinea-Bissau,GNB,1.04,0.0
85,Guinea,GIN,6.77,0.0
86,Guyana,GUY,3.14,0.0
87,Haiti,HTI,8.92,2512.0
88,Honduras,HND,19.37,13110.0
89,Hong Kong,HKG,292.7,0.0
90,Hungary,HUN,129.7,0.0
91,Iceland,ISL,16.2,0.0
92,India,IND,2048.0,8529.0
93,Indonesia,IDN,856.1,8703.0
94,Iran,IRN,402.7,0.0
95,Iraq,IRQ,232.2,3631.0
